93,35,5,6.3,1.5,1.6,1.8,5,92
89,49,9,4.5,1.2,1.9,1.4,4,91
89,23,10,4.4,2,2.8,1.1,3,90
89,18,3,3.2,0.8,1,0.4,4,89
87,26,10,3.4,1.6,1,0.4,4,89
89,24,2,2.8,0.9,1,1.5,3,88
88,14,8,3,2.1,2,1.6,3,88
89,21,10,2.8,0.9,0.8,0.9,5,87
88,25,3,2.6,0.7,0.5,0.6,3,87
86,38,9,3.8,1.6,0.6,1,3,87
89,11,4,1.6,0.9,0.6,0.6,4,87
86,10,11,2.6,1.4,1.4,0.4,3,87
82,23,5,2.5,0.9,0.7,0.3,3,86
87,9,7,2.5,1.7,0.7,0.8,3,85
85,32,6,2.8,1.5,0.6,0.6,3,85
85,17,2,1.8,0.6,0.3,0.5,3,85
84,15,2,3.7,1.9,2,1.4,3,85
83,32,10,3.6,1.6,1.7,0.9,3,85
85,14,3,2.3,1.5,1.4,1.8,2,84
83,18,4,2.5,1.7,1.3,0.7,2,84
84,20,5,3.1,2.1,2.3,2.3,3,84
80,21,9,3.1,1.3,1.6,0.9,3,84
83,21,6,2.5,0.9,1.6,1.3,3,84
81,7,1,2.2,1,1.4,1.6,1,84
73,23,3,2.3,0.6,0.8,0.5,2,84
85,10,5,3.7,1.4,0.7,0.9,5,83
84,19,8,3.5,1.5,1,1.4,3,83
86,12,4,1.7,0.8,0.8,1.5,3,83
81,18,5,2.5,1.4,1.7,1.4,1,83
82,19,7,3.2,1.4,0.8,1.6,2,83
82,20,10,3,0.9,1.3,0.9,2,83
83,15,3,2,0.7,0.6,1.7,3,82
83,12,2,2.3,1.5,1.2,1,2,82
76,3,3,1.1,1.7,2.5,1.9,4,81
83,9,3,2,0.7,0.2,0.8,2,81
82,10,8,2.9,1.3,0.8,0.7,2,81
83,14,0,2.6,0.8,0.3,1.1,3,81
83,7,1,1.8,0.8,0.8,1.2,2,81
80,18,2,2.1,0.8,0.9,0.9,1,81
80,10,3,2.6,1.1,1.7,1.6,1,81
82,6,1,1.3,0.7,1.2,1.2,2,81
81,18,5,2.7,1.2,0.6,1.3,1,81
79,13,3,2.5,0.9,1.7,2,1,81
80,9,2,2.4,0.6,0.7,1.4,1,81
83,11,3,3.6,1.3,0.5,1.1,2,80
80,15,1,2.3,0.6,0.3,1.7,2,80
83,5,5,1.5,0.7,0.4,0.9,4,80
82,9,2,1.6,0.7,0.2,1.1,2,80
82,11,1,1.6,0.5,0.2,0.7,2,80
76,22,2,2.4,0.9,1.3,0.7,1,80
81,10,11,2.9,1.4,1.7,1.3,2,80
82,16,3,2.9,1.2,1.3,2.9,3,80
83,2,1,0.8,0.3,0.3,0.1,1,80
80,10,3,1.2,0.5,0.2,1.8,1,80
81,8,3,0.7,0.4,0.6,0.4,3,79
79,13,3,1.7,0.6,0.6,0.8,1,79
82,8,0,2.2,0.4,0.2,0.5,3,79
75,21,7,2,1.5,0.6,1.3,1,79
78,9,3,3.2,1.5,1.1,1.5,2,79
80,19,1,2.3,1.1,0.9,0.8,2,79
77,11,5,1.4,1.9,0.7,0.6,2,79
80,7,1,1.7,0.6,0.7,1.6,2,79
79,11,0,2.3,0.8,0.7,1.1,2,79
80,11,3,1.6,1.2,0.9,0.5,1,79
79,10,3,2.1,0.8,0.9,2.1,2,79
77,13,1,2.4,0.4,0.4,1.2,1,79
80,14,4,1.7,0.9,0.4,1.6,1,79
83,3,2,1,0.5,0.5,0.6,1,79
76,11,3,1.8,0.5,0.6,1.6,2,79
79,14,4,2.2,1.2,0.7,0.8,2,79
79,8,5,2.6,1.4,2,1.7,1,79
74,15,4,3.2,0.8,0.6,1.5,1,79
74,9,1,1.2,0.4,0.5,0.4,1,79
79,13,7,3.1,1,0.7,0.9,2,78
80,6,3,0.9,0.7,0.7,1.4,1,78
79,4,1,1.3,0.5,0.4,1.5,3,78
78,9,2,1,0.8,0.4,0.7,2,78
82,8,2,1.3,0.8,0.1,0.5,3,78
78,10,3,2.8,1.1,2.7,1.5,2,78
